artist_id,firstname,lastname,source
25113,Alexandra,Standen,http://www.alexandrastanden.com/page-cv
24447,Amanda,Davies,http://www.amandajanedavies.com/uploads/2/2/4/4/22447508/davies_cv_2017_.pdf
1320,Leonard,Brown,http://www.andrew-baker.com/lb.html
24709,Andrew,Bonneau,http://www.andrewbonneauart.com/about.html
24782,Angela,Tiatia,http://www.angelatiatia.com/untitled-custom-page
24049,Angus,Nivision,http://www.angusnivison.com/biography/index.html
24789,Anne,Mestitz,"http://www.annemestitz.com.au/index.php?itemid=8
https://www.colvillegallery.com.au/artists/annemestitz_cv.php"
25063,Annika,Romeyn,http://www.annika-romeyn.com/curriculum-vitae
21323,Robert,Ryan,http://www.antheapolsonart.com.au/artist-details.php?artistID=46
10946,Imants,Tillers,"http://www.artresources.com.au/imantstillers/Spacer
<br />http://www.artfacts.net/en/artist/imants-tillers-39673/profile.html
<br />http://www.roslynoxley9.com.au/artists/220/Imants_Tillers/profile/"
9001,Louis,Pratt,"http://www.australiangalleries.com.au/ag/artist/louis_pratt/
<br />http://www.louispratt.com/#!about/aboutPage"
23539,Mitch ,Cairns,http://www.breenspace.com/artists/Mitch%20Cairns/
4765,Bronwyn,Hill,http://www.bronwynhill.com/bio
24781,Chris,Casali,http://www.chriscasali.com/bio-1.html
22436,Guy,Maestri,"http://www.christineabrahamsgallery.com.au/adisplay.cfm?id=174
"
12053,Philip,Wolfhagen,http://www.christineabrahamsgallery.com.au/adisplay.cfm?id=91
23789,Peter,Gouldthorpe,http://www.colvillestreetartgallery.com.au/gallery/petergouldthorpe.php 
23939,Dagmar,Cyrulla,http://www.dagmarcyrulla.com.au/biography
25048,Dana,Dion,http://www.danadion.com/about/
11481,Deborah,Walker,http://www.deborah-walker.com/files/DW_CV_ART_2016.pdf
24796,Emma,Wright,http://www.emmaewright.com/about-1
21063,Sonia,Payes,http://www.fehilycontemporary.com.au/wp-content/uploads/2013/09/Sonia-Payes-CV.pdf
25059,Gary,Miles,http://www.garymilesart.com.au/
14590,Sally,Ross,"http://www.gertrude.org.au/exhibition.php?id=176
<br>http://www.karynlovegrovegallery.com/ross/bio.html"
22935,Caroline,Rothwell,http://www.grantpirrie.com/GRANTPIRRIE/Caroline_Rothwell_2005/Rothwell_biog/index.shtml
23184,Celeste ,Chandler,"http://www.heisergallery.com.au/artists/chandler/celeste_chandler_cv.html
<br />http://www.celestechandler.com.au/CVCelesteChandler2012.pdf
<br>https://celestechandler.com.au/page/biography"
24055,James,Powditch,http://www.jamespowditch.com.au/
20522,David,Griggs,http://www.kalimangallery.com/web_pages/Frame_total.htm
21442,Tim,Mcmonagle,"http://www.kalimangallery.com/web_pages/Frame_total.htm
http://www.rexirwin.com/artists/gallery_artists/mc_monagleTim/bio.html
"
24779,Katrin,Koenning,http://www.katrinkoenning.com/About.html
23791,Jo,Bertini,"http://www.kingstreetgallery.com.au/artists/bertini.html
<br />http://www.timolsengallery.com/images/jo%20berini%202012.pdf
<br />http://www.jobertini.com.au/"
2341,Elisabeth,Cummings,http://www.kingstreetgallery.com.au/current.html
24795,Laura,Patterson,http://www.laura-patterson.com/about.html
25116,Leah,Bullen,http://www.leahbullen.com/about/
23252,Belynda ,Henry,"http://www.libbyedwardsgalleries.com/
"
679,John,Beard,"http://www.liverpoolstgallery.com.au/artists/artistpages/beard.html
<br>https://www.johnbeardart.com/biography"
24788,Beth,Mitchell,http://www.manyunggallery.com.au/Artist-Info.cfm?ArtistsID=1514&amp;Collection=&amp;info=CV&amp;ppage=3
20381,Jasper,Knight,"http://www.metro5gallery.com.au/Jasper%20Knight/KnightBio.htm
"
10545,Tim,Storrier,"http://www.metro5gallery.com.au/Tim%20Storrier/StorrierBio.htmSELECTED
<br />http://storrier.com/about-us/biography/"
6630,Euan,Macleod,"http://www.niagara-galleries.com.au/artists/artistpages/theartists/euan_macleod/macleodframe.html

<br>http://www.euanmacleod.com.au/CV%20EUAN%20MACLEOD.pdf"
25060,Nicola,Moss,http://www.nicolamoss.com.au/about
1896,Peter,Churcher,http://www.peterchurcher.com.au/awards
9477,Sally,Robinson,http://www.sallyrobinson.com.au/Sally%20Robinson%20biography.html
25070,Sarah,Tomasetti,http://www.sarahtomasetti.com.au/cv.html
21811,Steve,Lopes,http://www.stevelopes.com.au/about/
24798,Sue,Beyer,http://www.suebeyer.com.au/cv.html
843,Kate,Beynon,"http://www.suttongallery.com.au/artists/beynon/beynon.html
"
8383,John,Olsen,http://www.timolsengallery.com/artists/html/artistdetail.asp?id=1
773,Jason,Benjamin,"http://www.timolsengallery.com/artists/images/benjamin/benjamin.htm
http://www.metro5gallery.com.au/Jason%20Benjamin/BenjaminBio.htm"
1653,Tom,Carment,"http://www.tomcarment.com/about.php
<br />http://www.tomcarment.com/cv/"
25122,Tracey-Maree,Smith,http://www.tracey-mareesmithartist.com/my-story
24753,Susanna,Castleden,http://www.turnergalleries.com.au/pdf/cv_castleden_16.pdf
8321,Veronica,O'leary,http://www.veronicaoleary.com/about.html
24200,Vincent,Fantauzzo,"http://www.vincentfantauzzo.com/about/
"
